задача,модель,accuracy,macro_f1,auroc,MAE,R2
"Риск гиперответа (>20), с нулями",бейзлайн,0.8494231936854888,0.4592908732764281,0.5,,
"Риск гиперответа (>20), с нулями",случайный лес,0.8633879781420765,0.7316410467719078,0.8903695612073139,,
"Риск гиперответа (>20), с нулями",градиентный бустинг,0.8706739526411658,0.701439733653104,0.8778490972814683,,
"Риск бедного ответа (≤3), с нулями",бейзлайн,0.8318154219793564,0.45409347033476966,0.5,,
"Риск бедного ответа (≤3), с нулями",случайный лес,0.8803885853066181,0.7930362076125097,0.8955519249519092,,
"Риск бедного ответа (≤3), с нулями",градиентный бустинг,0.8816029143897997,0.7689641603644031,0.8924345832564757,,
"Риск гиперответа (>20), без нулей",бейзлайн,0.8494231936854888,0.4592908732764281,0.5,,
"Риск гиперответа (>20), без нулей",случайный лес,0.8633879781420765,0.7316410467719078,0.8903695612073139,,
"Риск гиперответа (>20), без нулей",градиентный бустинг,0.8706739526411658,0.701439733653104,0.8778490972814683,,
"Риск бедного ответа (≤3), без нулей",бейзлайн,0.8318154219793564,0.45409347033476966,0.5,,
"Риск бедного ответа (≤3), без нулей",случайный лес,0.8803885853066181,0.7930362076125097,0.8955519249519092,,
"Риск бедного ответа (≤3), без нулей",градиентный бустинг,0.8816029143897997,0.7689641603644031,0.8924345832564757,,
"Число ооцитов, без нулей",градиентный бустинг,,,,4.6446399703815615,0.4550049366325192
