признак,заполнено_%,spearman_rho,p,abs_rho,AUROC_гиперответ,взаимная_информация,предлечебный,подозрение_на_утечку
∑ Зрелых (MII),100.0,0.9305,0.0,0.9304860223472021,0.9786,1.3325,False,True
∑ Дробление,100.0,0.8819,0.0,0.8818516955228798,0.9618,0.939,False,True
И Получено ооцитов,88.7,0.8765,0.0,0.876485532626225,0.9558,1.5589,False,True
кЭКО Получено ооцитов,60.6,0.8559,0.0,0.8559092743852317,0.9432,1.4453,False,True
И Зрелых (MII),88.1,0.8298,0.0,0.8298172429325598,0.9455,0.7327,False,True
кЭКО Зрелых (MII),60.6,0.7707,5.459701258124297e-233,0.7706809203221818,0.9279,0.6549,False,True
И Дробление,87.3,0.7691,0.0,0.7690947857802651,0.9176,0.4987,False,True
DO Получено ооцитов,13.9,0.7658,2.571025806849951e-53,0.7658320432200537,0.8922,1.4748,False,True
∑ Выход б/ц,92.9,0.7116,1.2414561705026915e-279,0.7116042617663261,0.8781,0.4312,False,True
∑ n  заморож.эмбр,100.0,0.6962,1.3959023288236708e-282,0.6961689279591186,0.8762,0.3882,False,True
кЭКО Дробление,60.5,0.6957,1.7980411164012043e-171,0.6957290905799012,0.9037,0.4689,False,True
DO Зрелых (MII),13.9,0.6583,4.898636728099366e-35,0.6582708643858313,0.898,0.8813,False,True
И Выход б/ц,87.3,0.612,1.7053050082198244e-175,0.6120482887326817,0.8334,0.2736,False,False
Эстрадиол триггер,64.9,0.6037,1.7173454302546632e-126,0.6037428044783185,0.8179,0.3538,False,False
И n заморож.эмбр,86.6,0.5908,2.731247833351087e-159,0.5907957699430066,0.8318,0.2535,False,False
АМГ,100.0,0.5892,1.7298386778655777e-182,0.5891542662988192,0.8234,0.3021,True,False
DO дробление,13.9,0.5727,6.238635494079762e-25,0.5726997131596946,0.879,0.4625,False,True
∑ Бласт н.луч качества  минимум 3ВВ,100.0,0.5623,6.760820155523657e-163,0.5622882147108552,0.7995,0.2426,False,False
кЭКО Выход б/ц,60.5,0.5498,3.4179111723283337e-94,0.5498486687323909,0.8084,0.2237,False,False
кЭКО n заморож.эмбр,59.7,0.5123,8.28909880771619e-79,0.5122796655985686,0.7933,0.1818,False,False
И Бласт н.луч качества  минимум 3ВВ,87.3,0.4626,5.997083980021256e-91,0.46261088169428427,0.7483,0.1274,False,False
кЭКО Бласт н.луч качества  минимум 3ВВ,60.4,0.4397,7.143071837041261e-57,0.43971196409375213,0.7512,0.1402,False,False
DO Т заморож.эмбр,13.9,0.4189,6.727025864294025e-13,0.418923855325431,0.8088,0.1666,False,False
День ПЕ,48.7,0.4173,2.8236803827809715e-41,0.41727900181794125,0.5988,0.0826,True,False
ЛГ  триггер,38.6,-0.4171,5.237407747642283e-33,0.41707078591040675,0.717,0.1949,False,False
DO Выход б/ц,13.9,0.3914,2.555831232378064e-11,0.39143433939207073,0.8141,0.1697,False,False
Возр пациентов,100.0,-0.3739,1.0754122091405016e-65,0.37385515956251125,0.6899,0.118,True,False
∑ атрез.,100.0,0.3671,3.1080835597512074e-63,0.36709943488164687,0.6466,0.1258,False,False
Прогестерон триггер,63.5,0.3482,1.3427858957196144e-36,0.34817356265114513,0.6986,0.0862,False,False
Летрозол,25.0,-0.3465,3.2818691187023794e-15,0.34647750136427846,0.6608,0.0865,True,False
И атрез.,87.3,0.3441,1.68763671686584e-48,0.344098751755612,0.6555,0.0655,False,False
DO Бласт н.луч качества  минимум 3ВВ,13.9,0.3147,1.273649225636991e-07,0.3147414144319864,0.7786,0.1244,False,False
достинекс /таб,15.6,0.2938,1.8182520744860782e-07,0.29379769790848687,0.6199,0.0865,True,False
В PERSONE,97.8,-0.2871,1.6634509564830187e-37,0.28708407975474787,0.5973,0.0546,True,False
И ПЭ 3-4 сутки,84.1,-0.2686,1.7495065702873767e-28,0.2686076593181231,0.5722,0.0502,False,False
Номер попытки,97.7,-0.2673,1.5672855443777804e-32,0.2673173517688195,0.609,0.0662,True,False
∑ ПЭ 3-4 сутки,99.9,-0.2644,1.6155550853013145e-32,0.26439922489902096,0.5797,0.045,False,False
Кесарево сечение,10.3,-0.256,0.0002538764828404269,0.2559637025838468,0.5513,0.1245,True,False
кЭКО ПЭ 3-4 сутки,58.3,-0.2431,9.19852210477041e-17,0.24314264481072684,0.5385,0.0346,False,False
"Диферелин 0,1",68.0,0.2386,1.2728778558583614e-18,0.23860872360936175,0.6491,0.0516,False,False
Возраст мужа,87.2,-0.2274,2.2670213940246947e-21,0.22736001299597852,0.6308,0.0502,True,False
аэртал,15.2,-0.2271,8.074974982952372e-05,0.22709375275751284,0.6357,0.116,True,False
год рождения,90.0,0.2243,1.9024053214720074e-21,0.22433822119547375,0.6255,0.0645,True,False
ФСГ,81.7,-0.2157,3.2329012226737544e-18,0.2156506666212729,0.6085,0.1433,True,False
DO ПЭ 3-4 сутки,12.8,-0.207,0.0009951685537320292,0.20697560070725418,0.5464,0.0144,False,False
Мед.аборт,14.4,-0.2069,0.000492493559984882,0.20692423550630695,0.5544,0.0,True,False
DO атрез.,13.8,0.1966,0.0011888019541458697,0.19662378719402243,0.57,0.0,False,False
ТФС в день триггера,79.4,0.1941,1.3273777931654487e-14,0.19414087454640977,0.5901,0.0575,False,False
Утрожестан,8.6,0.1773,0.021517238527533282,0.1772714701594254,0.5526,0.1618,True,False
DO ПЭ  5-6 сутки,13.1,-0.1578,0.011486684522351473,0.15775249539923544,0.6406,0.0913,False,False
пок-тель хгч,21.3,0.1518,0.0019284273093057602,0.1517988241548525,0.565,0.0382,False,False
ЛГ старт,16.5,-0.1464,0.008531066407997041,0.14635967597288335,0.5644,0.1561,True,False
Кол-во берем,99.6,-0.1397,6.326541345920474e-10,0.13968609337440477,0.556,0.0467,False,False
Прогинова,16.8,0.1331,0.015988182687135526,0.13314442192835144,0.5466,0.0,True,False
Бесплодие,99.8,-0.1315,5.7802404438286875e-09,0.13154469622010065,0.547,0.014,True,False
Гонал Ф 75 ЕД,63.4,0.1205,2.1938047090498858e-05,0.12045275955531931,0.5219,0.0302,False,False
Перговерис/амп,7.8,-0.1199,0.14126079868517302,0.1198818065047937,0.5351,0.0,True,False
Кол-во браков,90.5,-0.1011,2.0915314044293946e-05,0.1011187939516204,0.5439,0.0,True,False
"ДИФЕРЕЛИН 0,1",17.1,-0.099,0.0707677891202129,0.09900083505954722,0.6647,0.0041,False,False
__year,100.0,-0.0911,5.6106647689602886e-05,0.09112210893762258,0.534,0.0036,True,False
∑ ПЭ 5-6 сутки,100.0,0.0829,0.0002499745558156203,0.08286617971125812,0.607,0.0863,False,False
Эстрадиол старт,37.6,0.0789,0.03276930090222233,0.0788660206272958,0.5038,0.017,True,False
Дата Посл гистеро,15.4,0.0769,0.18432198053796522,0.07685441329247046,0.5428,0.0,False,False
Операции/Тубэктомия,15.5,-0.0726,0.20819468611875877,0.07262664134216233,0.5168,0.0345,True,False
