признак,средний_модуль_SHAP
amh,0.17765896509257564
age,0.03920885257574284
fsh,0.03177814830035678
funding_платные,0.02961326039111221
age_husb,0.02552680574314807
attempt,0.016864270096724473
bmi,0.014273918035482048
prolactin,0.01288025283403506
lh,0.012666814841074438
weight,0.012312960160656269
ab_pct,0.011094804203586167
tsh,0.009207760441012505
bmi_husb,0.008875800207367283
height,0.007456080554978958
msg_result_обе трубы проходимы,0.007186736464968919
infert_dur,0.005750471577234396
morph_pct,0.005710090283691335
mar_test,0.005154944377698229
nationality_русская,0.0040906254259973325
diagnosis1_n97.4 мужской фактор,0.00294097227755208
nationality_прочее,0.002748888684716007
infertility_2.0,0.00210392018577024
hystero_diag_полип эндомет.,0.0020171774919136506
karyotype_w_дети,0.0018998359735140904
msg_result_мат.трубы отсутствуют,0.0018649084475185769
diagnosis1_n97.1 трубный фактор,0.0017931474505991246
funding_квота-2024,0.0017137114749633837
diagnosis1_прочее,0.0016740050371670337
diagnosis1_n97.8 другие формы,0.0014337522977535262
diagnosis1_n97.9 неуточненное,0.0011848184149857374
hystero_diag_норма,0.0010209545601101383
msg_result_обе трубы непроходимы,0.0009227751545532601
hystero_diag_хр. эндометрит,0.0008902842433314406
diagnosis1_nan,0.0008761566047111585
marriages,0.0008329031711195002
hystero_diag_прочее,0.00071354933193647
hystero_n,0.0006954168602296795
"msg_result_правая непрох.,левая прох",0.0006334646463752032
hystero_diag_гиперплаз.энд.,0.0005604267026168663
karyotype_w_nan,0.0005308629464737346
nationality_киргизка,0.0005112685240598207
funding_прочее,0.00050260961435532
"msg_result_правая прох.,левая непрох",0.00019210399292499396
nationality_уйгурка,0.00014710509999877334
karyotype_w_прочее,0.00010219692238613691
infertility_прочее,0.0
msg_result_прочее,0.0
