attempt,S,strata,cumulative_pregnancy
0.0,1.0,"АМГ ≤ 0,6",0.0
1.0,0.9613402061855673,"АМГ ≤ 0,6",0.03865979381443274
2.0,0.9205560762261799,"АМГ ≤ 0,6",0.07944392377382015
3.0,0.8906064778558078,"АМГ ≤ 0,6",0.10939352214419218
4.0,0.859743877138032,"АМГ ≤ 0,6",0.14025612286196798
5.0,0.8363494859233918,"АМГ ≤ 0,6",0.16365051407660824
6.0,0.8165307777261549,"АМГ ≤ 0,6",0.1834692222738451
7.0,0.7898467653821628,"АМГ ≤ 0,6",0.2101532346178372
8.0,0.7694196938636589,"АМГ ≤ 0,6",0.23058030613634106
9.0,0.7412701928686468,"АМГ ≤ 0,6",0.2587298071313532
10.0,0.7152607124171154,"АМГ ≤ 0,6",0.2847392875828846
11.0,0.6935861453741726,"АМГ ≤ 0,6",0.3064138546258274
12.0,0.6935861453741726,"АМГ ≤ 0,6",0.3064138546258274
0.0,1.0,"АМГ 0,61–2,0",0.0
1.0,0.8724082934609247,"АМГ 0,61–2,0",0.12759170653907526
2.0,0.7640891429305416,"АМГ 0,61–2,0",0.23591085706945836
3.0,0.659026885777592,"АМГ 0,61–2,0",0.34097311422240795
4.0,0.6303735429176969,"АМГ 0,61–2,0",0.36962645708230313
5.0,0.5541745432243488,"АМГ 0,61–2,0",0.4458254567756512
6.0,0.5450897146469003,"АМГ 0,61–2,0",0.45491028535309974
7.0,0.5042079860483827,"АМГ 0,61–2,0",0.4957920139516173
8.0,0.4654227563523533,"АМГ 0,61–2,0",0.5345772436476467
9.0,0.4266375266563239,"АМГ 0,61–2,0",0.5733624733436762
10.0,0.4266375266563239,"АМГ 0,61–2,0",0.5733624733436762
11.0,0.319978144992243,"АМГ 0,61–2,0",0.680021855007757
0.0,1.0,"АМГ > 2,0",0.0
1.0,0.7915142648134602,"АМГ > 2,0",0.2084857351865398
2.0,0.6336215228688064,"АМГ > 2,0",0.36637847713119365
3.0,0.5017942261645583,"АМГ > 2,0",0.49820577383544173
4.0,0.48586425073076284,"АМГ > 2,0",0.5141357492692371
5.0,0.4691103110503916,"АМГ > 2,0",0.5308896889496084
6.0,0.38752590912858426,"АМГ > 2,0",0.6124740908714157
7.0,0.31486480116697474,"АМГ > 2,0",0.6851351988330252
8.0,0.31486480116697474,"АМГ > 2,0",0.6851351988330252
10.0,0.31486480116697474,"АМГ > 2,0",0.6851351988330252
11.0,0.15743240058348737,"АМГ > 2,0",0.8425675994165126
12.0,0.15743240058348737,"АМГ > 2,0",0.8425675994165126
