config,тип,уровень,алгоритм,defective,seed,macro_f1,D,T,F,S,C,R,V,conf_coverage,conf_size
M0 эталон,—,0.0,LogReg,0,20260802,0.323,1.0,1.0,0.1992,0.9737,0.611,0.6534,0.5275,0.9122,1.698
T утечка ρ=0.1,T,0.1,LogReg,1,20260802,0.3187,1.0,0.0,0.196,0.9626,0.6542,0.6819,0.0,0.9189,1.642
T утечка ρ=0.3,T,0.3,LogReg,1,20260802,0.42,1.0,0.0,0.2128,0.9534,0.6348,0.6934,0.0,0.9324,1.623
T утечка ρ=0.5,T,0.5,LogReg,1,20260802,0.5351,1.0,0.0,0.1766,0.9604,0.5965,0.7593,0.0,0.9426,1.492
T утечка ρ=0.7,T,0.7,LogReg,1,20260802,0.6141,1.0,0.0,0.214,0.969,0.5581,0.8285,0.0,0.9443,1.346
T утечка ρ=0.9,T,0.9,LogReg,1,20260802,0.8984,1.0,0.0,0.0771,0.98,0.5475,0.9502,0.0,0.978,1.1
F подмена η=0.1,F,0.1,LogReg,1,20260802,0.323,1.0,1.0,0.1792,0.9766,0.611,0.6534,0.5142,0.9122,1.698
F подмена η=0.25,F,0.25,LogReg,1,20260802,0.323,1.0,1.0,0.1522,0.9699,0.611,0.6534,0.4927,0.9122,1.698
F подмена η=0.5,F,0.5,LogReg,1,20260802,0.323,1.0,1.0,0.1001,0.9829,0.611,0.6534,0.4452,0.9122,1.698
F подмена η=0.75,F,0.75,LogReg,1,20260802,0.323,1.0,1.0,0.0489,0.9781,0.611,0.6534,0.3718,0.9122,1.698
F подмена η=1.0,F,1.0,LogReg,1,20260802,0.323,1.0,1.0,0.0041,0.9762,0.611,0.6534,0.1996,0.9122,1.698
S доля=0.05,S,0.05,LogReg,1,20260802,0.3425,1.0,1.0,0.5198,0.5458,0.6308,0.7055,0.5961,0.8463,1.622
S доля=0.1,S,0.1,LogReg,1,20260802,0.3296,1.0,1.0,0.6455,0.5167,0.6266,0.6805,0.6141,0.848,1.667
S доля=0.15,S,0.15,LogReg,1,20260802,0.2978,1.0,1.0,0.8144,0.5132,0.6765,0.6883,0.6642,0.8345,1.647
S доля=0.25,S,0.25,LogReg,1,20260802,0.3733,1.0,1.0,0.6232,0.5886,0.6796,0.7387,0.6551,0.8564,1.537
S доля=0.4,S,0.4,LogReg,1,20260802,0.3498,1.0,1.0,0.8887,0.5693,0.6523,0.7019,0.6937,0.8716,1.627
C инверсия η=0.05,C,0.05,LogReg,1,20260802,0.306,1.0,1.0,0.1757,0.9899,0.4927,0.685,0.4922,0.9088,1.63
C инверсия η=0.1,C,0.1,LogReg,1,20260802,0.3129,1.0,1.0,0.1957,0.9715,0.4923,0.6143,0.4897,0.8868,1.807
C инверсия η=0.2,C,0.2,LogReg,1,20260802,0.2554,1.0,1.0,0.1821,0.9715,0.0972,0.7035,0.3316,0.7736,1.627
C инверсия η=0.3,C,0.3,LogReg,1,20260802,0.2311,1.0,1.0,0.2254,0.98,0.0744,0.8646,0.3453,0.5591,1.292
R шум σ×0.25,R,0.25,LogReg,1,20260802,0.3083,1.0,1.0,0.2288,0.898,0.6225,0.6537,0.5377,0.9223,1.696
R шум σ×0.5,R,0.5,LogReg,1,20260802,0.3171,1.0,1.0,0.2895,0.8439,0.6189,0.6664,0.5634,0.9122,1.677
