тип,уровень,V
C,0.05,0.6350333333333333
C,0.1,0.5956583333333333
C,0.2,0.477625
C,0.3,0.38684999999999997
D,0.1,0.0
D,0.2,0.0
F,0.1,0.647225
F,0.25,0.619025
F,0.5,0.5593166666666667
F,0.75,0.46915833333333334
F,1.0,0.24985833333333332
R,0.25,0.6302333333333333
R,0.5,0.6306083333333333
R,1.0,0.6314333333333333
R,1.5,0.6289333333333333
R,2.0,0.6274833333333333
S,0.05,0.6095333333333334
S,0.1,0.6604166666666667
S,0.15,0.6643249999999999
S,0.25,0.67925
S,0.4,0.7045
T,0.1,0.0
T,0.3,0.0
T,0.5,0.0
T,0.7,0.0
T,0.9,0.0
