config,тип,уровень,алгоритм,defective,seed,macro_f1,conf_coverage,conf_set_size,D,T,F,S,C,R,V
M0 эталон,—,0.0,LogReg,0,20260802,0.323,0.9122,1.698,1.0,1.0,0.1986,0.9762,0.611,0.6534,0.5275
T утечка ρ=0.1,T,0.1,LogReg,1,20260802,0.3187,0.9223,1.676,1.0,0.0,0.2005,0.9696,0.6542,0.6667,0.0
T утечка ρ=0.3,T,0.3,LogReg,1,20260802,0.3568,0.9189,1.581,1.0,0.0,0.2246,0.9572,0.6081,0.7145,0.0
T утечка ρ=0.5,T,0.5,LogReg,1,20260802,0.5016,0.9341,1.505,1.0,0.0,0.1763,0.9607,0.6282,0.7514,0.0
T утечка ρ=0.7,T,0.7,LogReg,1,20260802,0.5263,0.9054,1.248,1.0,0.0,0.1115,0.9639,0.5982,0.8758,0.0
T утечка ρ=0.9,T,0.9,LogReg,1,20260802,0.8897,0.9172,1.0,1.0,0.0,0.0825,0.9785,0.5702,1.0,0.0
F подмена η=0.1,F,0.1,LogReg,1,20260802,0.323,0.9122,1.698,1.0,1.0,0.1787,0.9762,0.611,0.6534,0.5137
F подмена η=0.25,F,0.25,LogReg,1,20260802,0.323,0.9122,1.698,1.0,1.0,0.1489,0.9762,0.611,0.6534,0.4909
F подмена η=0.5,F,0.5,LogReg,1,20260802,0.323,0.9122,1.698,1.0,1.0,0.0993,0.9762,0.611,0.6534,0.4435
F подмена η=0.75,F,0.75,LogReg,1,20260802,0.323,0.9122,1.698,1.0,1.0,0.0496,0.9762,0.611,0.6534,0.373
F подмена η=1.0,F,1.0,LogReg,1,20260802,0.323,0.9122,1.698,1.0,1.0,0.004,0.9762,0.611,0.6534,0.1984
S доля=0.25,S,0.25,LogReg,1,20260802,0.3476,0.9139,1.694,1.0,1.0,1.0,0.9186,0.6652,0.6568,0.796
S доля=0.4,S,0.4,LogReg,1,20260802,0.3205,0.9155,1.699,1.0,1.0,0.4798,0.9645,0.6064,0.6509,0.6538
S доля=0.6,S,0.6,LogReg,1,20260802,0.3191,0.9172,1.699,1.0,1.0,0.2564,0.9636,0.6134,0.6509,0.5604
S доля=0.8,S,0.8,LogReg,1,20260802,0.315,0.9206,1.708,1.0,1.0,0.2044,0.9756,0.5988,0.6495,0.5277
C инверсия η=0.05,C,0.05,LogReg,1,20260802,0.306,0.9189,1.715,1.0,1.0,0.1792,0.9905,0.4927,0.6427,0.4869
C инверсия η=0.1,C,0.1,LogReg,1,20260802,0.3129,0.9139,2.01,1.0,1.0,0.1959,0.9864,0.4923,0.5417,0.4764
C инверсия η=0.2,C,0.2,LogReg,1,20260802,0.2554,0.9291,2.123,1.0,1.0,0.1808,0.9699,0.0972,0.5239,0.3074
C инверсия η=0.3,C,0.3,LogReg,1,20260802,0.2311,0.9172,2.338,1.0,1.0,0.2336,0.9823,0.0744,0.4842,0.3016
R сглаж. λ=0.1,R,0.1,LogReg,1,20260802,0.323,0.9122,1.698,1.0,1.0,0.3701,0.9762,0.611,0.6534,0.6163
R сглаж. λ=0.25,R,0.25,LogReg,1,20260802,0.323,0.9122,1.698,1.0,1.0,0.7384,0.9762,0.611,0.6534,0.7324
R сглаж. λ=0.5,R,0.5,LogReg,1,20260802,0.323,0.9122,1.698,1.0,1.0,1.0,0.9762,0.611,0.6534,0.7901
