тип,уровень,V
C,0.05,0.6157833333333333
C,0.1,0.5478166666666667
C,0.2,0.4160166666666667
C,0.3,0.32665
D,0.1,0.0
D,0.2,0.0
F,0.1,0.6518916666666666
F,0.25,0.6228666666666667
F,0.5,0.5628000000000001
F,0.75,0.47327499999999995
F,1.0,0.25170833333333337
R,0.1,0.6943583333333333
R,0.25,0.7495083333333333
R,0.5,0.7839333333333333
R,0.75,0.7839166666666667
R,0.9,0.7839166666666667
S,0.25,0.6906666666666667
S,0.4,0.6814916666666667
S,0.6,0.6697000000000001
S,0.8,0.6701916666666666
T,0.1,0.0
T,0.3,0.0
T,0.5,0.0
T,0.7,0.0
T,0.9,0.0
