config,algo,defective,macro_f1,ci_low,ci_high,balanced_acc,D,T,F,S,C,R,V
M0 AMH-only,LogReg,0,0.3034,0.2928,0.3209,0.3302,1.0,1.0,0.604,0.992,0.244,0.958,0.6118
M0 AMH-only,RandomForest,0,0.396,0.336,0.469,0.391,1.0,1.0,1.0,0.871,0.551,0.941,0.8199
M0 AMH-only,HistGB,0,0.3331,0.31,0.36,0.3389,1.0,1.0,1.0,0.864,0.411,0.936,0.7593
M0 AMH-only,XGBoost,0,0.3488,0.3247,0.3822,0.3551,1.0,1.0,1.0,0.854,0.498,0.885,0.783
Корректная (Clean),LogReg,0,0.323,0.3034,0.3446,0.34,1.0,1.0,0.17,0.983,0.222,0.965,0.4348
Корректная (Clean),RandomForest,0,0.4096,0.3559,0.4726,0.4274,1.0,1.0,0.609,0.861,0.444,0.921,0.6806
Корректная (Clean),HistGB,0,0.392,0.3387,0.453,0.4203,1.0,1.0,0.831,0.831,0.486,0.997,0.7607
Корректная (Clean),XGBoost,0,0.4068,0.3458,0.46,0.4275,1.0,1.0,0.769,0.823,0.513,0.983,0.7516
D1 Утечка,LogReg,1,0.7567,0.7003,0.825,0.7157,1.0,0.0,0.158,0.981,0.169,0.995,0.0
D1 Утечка,RandomForest,1,0.8565,0.7764,0.9178,0.8152,1.0,0.0,0.112,0.989,0.14,0.998,0.0
D1 Утечка,HistGB,1,0.8547,0.7755,0.9157,0.8227,1.0,0.0,0.108,0.981,0.129,1.0,0.0
D1 Утечка,XGBoost,1,0.8527,0.7752,0.9176,0.822,1.0,0.0,0.123,0.977,0.124,1.0,0.0
D5 Ложное объясн.,LogReg,1,0.323,0.2994,0.3458,0.34,1.0,1.0,0.025,0.987,0.089,0.965,0.215
D5 Ложное объясн.,RandomForest,1,0.4096,0.3488,0.475,0.4274,1.0,1.0,0.091,0.849,0.178,0.921,0.3352
D5 Ложное объясн.,HistGB,1,0.392,0.338,0.4595,0.4203,1.0,1.0,0.123,0.831,0.195,0.997,0.3749
D5 Ложное объясн.,XGBoost,1,0.4068,0.3535,0.47,0.4275,1.0,1.0,0.113,0.816,0.205,0.983,0.369
D2 Ложный маркер,LogReg,1,0.3291,0.303,0.3556,0.3295,1.0,1.0,0.059,0.99,0.086,1.0,0.2662
D2 Ложный маркер,RandomForest,1,0.3303,0.3051,0.3515,0.3311,1.0,1.0,0.13,0.991,0.084,0.995,0.3226
D2 Ложный маркер,HistGB,1,0.3316,0.3063,0.3607,0.3328,1.0,1.0,0.082,0.982,0.087,1.0,0.2893
D2 Ложный маркер,XGBoost,1,0.335,0.3092,0.3626,0.3363,1.0,1.0,0.081,0.981,0.099,1.0,0.2981
D6 Тех.идентификатор,LogReg,1,0.2995,0.2933,0.3053,0.3333,1.0,1.0,0.001,0.999,0.0,1.0,0.0
D6 Тех.идентификатор,RandomForest,1,0.2995,0.2926,0.3049,0.3333,1.0,1.0,0.06,1.0,0.0,1.0,0.0
D6 Тех.идентификатор,HistGB,1,0.2995,0.2929,0.3046,0.3333,1.0,1.0,0.0,1.0,0.0,1.0,0.0
D6 Тех.идентификатор,XGBoost,1,0.2995,0.2926,0.3059,0.3333,1.0,1.0,0.0,1.0,0.0,1.0,0.0
