indicator,2023,2024,2025,all
cycles,1259,1067,1071,3397
patients_unique,1144,919,915,2859
cycles_with_patient_id,1259,1067,1071,3397
patients_with_gt1_cycle,91,109,112,312
cycles_of_patients_with_gt1_cycle,206,257,268,731
cycles_per_patient_median,1.0,1.0,1.0,
cycles_per_patient_max,5,5,7,
age_median_iqr,35.0 [32.0-39.0],36.0 [32.0-40.0],37.0 [32.0-40.0],36.0 [32.0-40.0]
age_source_column,Возр пациентов,Возр пациентов,Возр пациентов,
amh_ng_ml_median_iqr,1.4 [0.6-2.8],1.4 [0.6-2.7],1.3 [0.5-2.3],1.3 [0.6-2.6]
bmi_median_iqr,22.9 [20.3-26.2],23.4 [20.8-26.7],23.4 [21.0-26.4],23.2 [20.8-26.4]
bmi_missing_pct,2.0,2.8,3.6,2.8
infertility_duration_years_median_iqr,4.0 [2.0-7.0],4.0 [2.0-7.0],4.0 [2.0-7.0],4.0 [2.0-7.0]
infertility_duration_missing_pct,0.0,1.1,13.4,4.6
protocol_antagonist,832,712,772,2316
protocol_short,273,160,92,525
protocol_long,64,62,32,158
protocol_ppos_utrogestan,64,113,165,342
protocol_mini,24,13,0,37
protocol_other,0,0,2,2
protocol_empty,2,7,8,17
class_low_0_3,513,413,395,1321
class_normal_4_15,660,552,582,1794
class_high_gt15,86,102,94,282
oocytes_zero,45,34,45,124
oocytes_median_iqr,5.0 [2.0-8.0],5.0 [2.0-9.0],5.0 [2.0-9.0],5.0 [2.0-9.0]
stimulated_autologous_without_retrieval_record,1,0,0,1
registry_rows_category_cancelled_tvp,39,44,46,129
registry_rows_category_no_tvp,145,140,135,420
dropped_own_oocyte_step_donor,12,0,5,17
dropped_own_oocyte_step_fet_or_natural,1026,1027,958,3011
dropped_own_oocyte_step_cancelled_or_no_tvp,99,71,96,266
dropped_own_oocyte_step_other,15,11,6,32
patients_in_more_than_one_year,,,,119
patients_also_in_another_year,119,119,0,
