feature,year,missing_pct,present
Год рождения,2023,0.0,True
Возр пациентов,2023,0.0,True
Рост жены,2023,1.7,True
Вес жены,2023,1.7,True
ИМТ жены,2023,1.9,True
год рождения,2023,15.7,True
Возраст мужа,2023,19.7,True
Бесплодие,2023,0.0,True
Диагноз бесплодия 1,2023,0.0,True
Диагноз бесплодия 2,2023,78.2,True
АМГ,2023,0.0,True
Год рождения,2024,0.0,True
Возр пациентов,2024,0.0,True
Рост жены,2024,1.9,True
Вес жены,2024,1.8,True
ИМТ жены,2024,2.2,True
год рождения,2024,7.6,True
Возраст мужа,2024,11.2,True
Бесплодие,2024,0.7,True
Диагноз бесплодия 1,2024,4.0,True
Диагноз бесплодия 2,2024,78.4,True
АМГ,2024,0.0,True
Год рождения,2025,0.0,True
Возр пациентов,2025,0.0,True
Рост жены,2025,2.7,True
Вес жены,2025,2.7,True
ИМТ жены,2025,3.5,True
год рождения,2025,11.6,True
Возраст мужа,2025,14.1,True
Бесплодие,2025,2.4,True
Диагноз бесплодия 1,2025,1.0,True
Диагноз бесплодия 2,2025,77.0,True
АМГ,2025,0.0,True
