protocol,year,n,pct
antagonist,2023,832,66.1
short,2023,273,21.7
long,2023,64,5.1
ppos_utrogestan,2023,64,5.1
mini,2023,24,1.9
other,2023,0,0.0
empty,2023,2,0.2
antagonist,2024,712,66.7
short,2024,160,15.0
long,2024,62,5.8
ppos_utrogestan,2024,113,10.6
mini,2024,13,1.2
other,2024,0,0.0
empty,2024,7,0.7
antagonist,2025,772,72.1
short,2025,92,8.6
long,2025,32,3.0
ppos_utrogestan,2025,165,15.4
mini,2025,0,0.0
other,2025,2,0.2
empty,2025,8,0.7
antagonist,all,2316,68.2
short,all,525,15.5
long,all,158,4.7
ppos_utrogestan,all,342,10.1
mini,all,37,1.1
other,all,2,0.1
empty,all,17,0.5
