config,тип,уровень,алгоритм,defective,seed,macro_f1,D,T,F,S,C,R,V,conf_coverage,conf_size,V_cal,macro_f1_cal,conf_coverage_cal
M0 эталон,—,0.0,LogReg,0,20260802,0.4894,1.0,1.0,0.4232,0.8839,0.913,0.5882,0.6695,0.916,1.824,0.6747,0.4837,0.9016
T утечка ρ=0.1,T,0.1,LogReg,1,20260802,0.5048,1.0,0.0,0.445,0.8881,0.9009,0.599,0.0,0.9197,1.802,0.0,0.494,0.9007
T утечка ρ=0.3,T,0.3,LogReg,1,20260802,0.5457,1.0,0.0,0.3482,0.9179,0.8811,0.6312,0.0,0.9262,1.738,0.0,0.5133,0.9128
T утечка ρ=0.5,T,0.5,LogReg,1,20260802,0.5426,1.0,0.0,0.259,0.9233,0.8256,0.6724,0.0,0.9272,1.656,0.0,0.6002,0.91
T утечка ρ=0.7,T,0.7,LogReg,1,20260802,0.735,1.0,0.0,0.1498,0.9452,0.8145,0.7375,0.0,0.9468,1.526,0.0,0.6802,0.941
T утечка ρ=0.9,T,0.9,LogReg,1,20260802,0.899,1.0,0.0,0.1317,0.9729,0.7856,0.9048,0.0,0.9785,1.19,0.0,0.8983,0.9738
F подмена η=0.1,F,0.1,LogReg,1,20260802,0.4894,1.0,1.0,0.3753,0.9046,0.913,0.5882,0.6534,0.916,1.824,0.6616,0.4837,0.9016
F подмена η=0.25,F,0.25,LogReg,1,20260802,0.4894,1.0,1.0,0.3124,0.8929,0.913,0.5882,0.6221,0.916,1.824,0.6309,0.4837,0.9016
F подмена η=0.5,F,0.5,LogReg,1,20260802,0.4894,1.0,1.0,0.2069,0.9123,0.913,0.5882,0.5643,0.916,1.824,0.5725,0.4837,0.9016
F подмена η=0.75,F,0.75,LogReg,1,20260802,0.4894,1.0,1.0,0.1048,0.9053,0.913,0.5882,0.4751,0.916,1.824,0.4778,0.4837,0.9016
F подмена η=1.0,F,1.0,LogReg,1,20260802,0.4894,1.0,1.0,0.0084,0.8986,0.913,0.5882,0.252,0.916,1.824,0.2549,0.4837,0.9016
S доля=0.05,S,0.05,LogReg,1,20260802,0.3556,1.0,1.0,0.6802,0.4249,0.6453,0.674,0.5954,0.8011,1.683,0.5906,0.3412,0.7863
S доля=0.1,S,0.1,LogReg,1,20260802,0.4731,1.0,1.0,0.7355,0.4457,0.7714,0.6492,0.6365,0.8254,1.739,0.6348,0.4478,0.8126
S доля=0.15,S,0.15,LogReg,1,20260802,0.3773,1.0,1.0,0.6459,0.4513,0.6677,0.6502,0.5964,0.8329,1.719,0.6057,0.4336,0.8229
S доля=0.25,S,0.25,LogReg,1,20260802,0.4678,1.0,1.0,0.863,0.4228,0.746,0.6418,0.6465,0.8375,1.741,0.6444,0.4121,0.8435
S доля=0.4,S,0.4,LogReg,1,20260802,0.409,1.0,1.0,0.793,0.4573,0.7724,0.6774,0.66,0.8179,1.679,0.6678,0.4353,0.8135
C инверсия η=0.05,C,0.05,LogReg,1,20260802,0.4134,1.0,1.0,0.713,0.8417,0.7447,0.509,0.6906,0.9076,1.994,0.6931,0.3968,0.8941
C инверсия η=0.1,C,0.1,LogReg,1,20260802,0.3566,1.0,1.0,0.4914,0.82,0.4889,0.4385,0.5421,0.9057,2.387,0.5372,0.343,0.8988
C инверсия η=0.2,C,0.2,LogReg,1,20260802,0.2145,1.0,1.0,0.4122,0.8414,0.064,0.5324,0.3297,0.7292,2.123,0.3404,0.2138,0.7404
C инверсия η=0.3,C,0.3,LogReg,1,20260802,0.1762,1.0,1.0,0.2022,0.889,0.0424,0.6816,0.2684,0.5313,1.736,0.2922,0.1763,0.5323
R шум σ×0.25,R,0.25,LogReg,1,20260802,0.482,1.0,1.0,0.4252,0.8081,0.9014,0.6094,0.6592,0.9104,1.782,0.6482,0.4724,0.8857
R шум σ×0.5,R,0.5,LogReg,1,20260802,0.455,1.0,1.0,0.4246,0.6877,0.8958,0.6411,0.6399,0.8739,1.719,0.6621,0.4552,0.8294
R шум σ×1.0,R,1.0,LogReg,1,20260802,0.4323,1.0,1.0,0.4508,0.5748,0.8982,0.7028,0.6359,0.7899,1.601,0.6589,0.3808,0.656
R шум σ×1.5,R,1.5,LogReg,1,20260802,0.4268,1.0,1.0,0.48,0.4466,0.9013,0.7228,0.6113,0.7358,1.572,0.6644,0.3699,0.5801
R шум σ×2.0,R,2.0,LogReg,1,20260802,0.4272,1.0,1.0,0.5142,0.4625,0.8979,0.7597,0.6346,0.6751,1.495,0.7465,0.3474,0.5052
D невозможный АМГ,D,0.1,LogReg,1,20260802,0.4556,0.0,1.0,0.3743,0.9249,0.9371,0.6312,0.0,0.831,1.738,0.0,0.4743,0.8201
D противоречие ИМТ,D,0.1,LogReg,1,20260802,0.4773,0.0,1.0,0.469,0.8575,0.8939,0.6113,0.0,0.8908,1.779,0.0,0.4715,0.88
D пропуск АМГ,D,0.2,LogReg,1,20260802,0.4722,0.0,1.0,0.4462,0.8925,0.8793,0.5742,0.0,0.9104,1.852,0.0,0.4566,0.8978
D ошибка единиц,D,0.1,LogReg,1,20260802,0.4659,0.0,1.0,0.3757,0.8993,0.9369,0.6298,0.0,0.831,1.74,0.0,0.4812,0.8257
M0 эталон,—,0.0,LogReg,0,20260803,0.4894,1.0,1.0,0.4117,0.8923,0.913,0.5882,0.6665,0.916,1.824,0.6783,0.4837,0.9016
T утечка ρ=0.1,T,0.1,LogReg,1,20260803,0.4881,1.0,0.0,0.4294,0.9058,0.8951,0.605,0.0,0.915,1.79,0.0,0.4916,0.9007
T утечка ρ=0.3,T,0.3,LogReg,1,20260803,0.5617,1.0,0.0,0.3536,0.9252,0.8598,0.6394,0.0,0.9169,1.722,0.0,0.5118,0.9063
T утечка ρ=0.5,T,0.5,LogReg,1,20260803,0.5652,1.0,0.0,0.4328,0.9205,0.8509,0.6786,0.0,0.9272,1.643,0.0,0.5409,0.9166
T утечка ρ=0.7,T,0.7,LogReg,1,20260803,0.6598,1.0,0.0,0.1526,0.9424,0.8157,0.7372,0.0,0.9309,1.526,0.0,0.6554,0.9344
T утечка ρ=0.9,T,0.9,LogReg,1,20260803,0.9085,1.0,0.0,0.0593,0.968,0.7661,0.9076,0.0,0.9804,1.185,0.0,0.9001,0.9775
F подмена η=0.1,F,0.1,LogReg,1,20260803,0.4894,1.0,1.0,0.374,0.9149,0.913,0.5882,0.6547,0.916,1.824,0.6568,0.4837,0.9016
F подмена η=0.25,F,0.25,LogReg,1,20260803,0.4894,1.0,1.0,0.3181,0.9105,0.913,0.5882,0.628,0.916,1.824,0.6292,0.4837,0.9016
F подмена η=0.5,F,0.5,LogReg,1,20260803,0.4894,1.0,1.0,0.2034,0.9132,0.913,0.5882,0.562,0.916,1.824,0.5693,0.4837,0.9016
F подмена η=0.75,F,0.75,LogReg,1,20260803,0.4894,1.0,1.0,0.1031,0.9007,0.913,0.5882,0.4725,0.916,1.824,0.4806,0.4837,0.9016
F подмена η=1.0,F,1.0,LogReg,1,20260803,0.4894,1.0,1.0,0.0083,0.8925,0.913,0.5882,0.2513,0.916,1.824,0.2543,0.4837,0.9016
S доля=0.05,S,0.05,LogReg,1,20260803,0.4068,1.0,1.0,0.5219,0.4802,0.7677,0.6716,0.5996,0.8086,1.708,0.6137,0.3901,0.7966
S доля=0.1,S,0.1,LogReg,1,20260803,0.432,1.0,1.0,0.9282,0.4438,0.7422,0.6544,0.6688,0.7993,1.725,0.65,0.4232,0.7863
S доля=0.15,S,0.15,LogReg,1,20260803,0.3967,1.0,1.0,0.6952,0.4991,0.784,0.7082,0.6625,0.7787,1.612,0.6406,0.4099,0.8182
