тип,уровень,V
C,0.05,0.6680333333333334
C,0.1,0.575325
C,0.2,0.4523916666666667
C,0.3,0.36185833333333334
D,0.1,0.0
D,0.2,0.0
F,0.1,0.6784416666666666
F,0.25,0.6480833333333333
F,0.5,0.58565
F,0.75,0.4918666666666667
F,1.0,0.261475
R,0.25,0.6707833333333334
R,0.5,0.6643083333333334
R,1.0,0.6641666666666667
R,1.5,0.6579166666666666
R,2.0,0.6540166666666667
S,0.05,0.60065
S,0.1,0.6098333333333333
S,0.15,0.6287666666666666
S,0.25,0.6489666666666666
S,0.4,0.6619499999999999
T,0.1,0.0
T,0.3,0.0
T,0.5,0.0
T,0.7,0.0
T,0.9,0.0
