config,algo,defective,macro_f1,ci_low,ci_high,balanced_acc,D,T,F,S,C,R,V
M0 AMH-only,LogReg,0,0.4813,0.4471,0.5165,0.4855,1.0,1.0,1.0,0.975,0.872,0.971,0.9531
M0 AMH-only,RandomForest,0,0.4958,0.4619,0.5332,0.4885,1.0,1.0,1.0,0.844,0.741,0.992,0.8873
M0 AMH-only,HistGB,0,0.4969,0.4594,0.5309,0.4908,1.0,1.0,1.0,0.835,0.775,0.997,0.8962
M0 AMH-only,XGBoost,0,0.4756,0.4373,0.5139,0.4759,1.0,1.0,1.0,0.845,0.76,0.995,0.8942
Корректная (Clean),LogReg,0,0.4894,0.4539,0.5258,0.4905,1.0,1.0,0.349,0.937,0.826,0.982,0.7179
Корректная (Clean),RandomForest,0,0.5366,0.4971,0.5721,0.5173,1.0,1.0,0.393,0.901,0.779,0.955,0.7164
Корректная (Clean),HistGB,0,0.5115,0.4717,0.5593,0.4967,1.0,1.0,0.808,0.839,0.689,0.999,0.8265
Корректная (Clean),XGBoost,0,0.5168,0.4789,0.5551,0.5037,1.0,1.0,0.762,0.823,0.682,0.995,0.8079
D1 Утечка,LogReg,1,0.7583,0.7252,0.7887,0.7393,1.0,0.0,0.407,0.94,0.614,0.999,0.0
D1 Утечка,RandomForest,1,0.8168,0.7846,0.8482,0.8021,1.0,0.0,0.278,0.95,0.598,0.984,0.0
D1 Утечка,HistGB,1,0.8293,0.8021,0.8553,0.8075,1.0,0.0,0.498,0.944,0.568,1.0,0.0
D1 Утечка,XGBoost,1,0.8159,0.781,0.846,0.7999,1.0,0.0,0.466,0.929,0.602,1.0,0.0
D5 Ложное объясн.,LogReg,1,0.4894,0.4548,0.5274,0.4905,1.0,1.0,0.053,0.947,0.33,0.982,0.3579
D5 Ложное объясн.,RandomForest,1,0.5366,0.4908,0.5838,0.5173,1.0,1.0,0.058,0.886,0.312,0.955,0.3521
D5 Ложное объясн.,HistGB,1,0.5115,0.4688,0.5501,0.4967,1.0,1.0,0.122,0.831,0.276,0.999,0.4089
D5 Ложное объясн.,XGBoost,1,0.5168,0.4688,0.5505,0.5037,1.0,1.0,0.116,0.825,0.273,0.995,0.4012
D2 Ложный маркер,LogReg,1,0.3645,0.3327,0.3966,0.3641,1.0,1.0,0.073,0.978,0.132,1.0,0.3115
D2 Ложный маркер,RandomForest,1,0.3717,0.341,0.4152,0.3688,1.0,1.0,0.15,0.974,0.133,0.988,0.3723
D2 Ложный маркер,HistGB,1,0.3654,0.3313,0.3936,0.3648,1.0,1.0,0.107,0.964,0.121,1.0,0.3346
D2 Ложный маркер,XGBoost,1,0.3684,0.3401,0.3989,0.3674,1.0,1.0,0.116,0.954,0.136,0.999,0.3503
D6 Тех.идентификатор,LogReg,1,0.3152,0.2922,0.3434,0.3286,1.0,1.0,0.062,0.986,0.093,1.0,0.2742
D6 Тех.идентификатор,RandomForest,1,0.293,0.2771,0.3137,0.3084,1.0,1.0,0.1,0.998,0.0,0.997,0.0
D6 Тех.идентификатор,HistGB,1,0.2924,0.2758,0.3147,0.3078,1.0,1.0,0.0,0.998,0.0,1.0,0.0
D6 Тех.идентификатор,XGBoost,1,0.2925,0.2729,0.3098,0.3081,1.0,1.0,0.001,0.997,0.0,1.0,0.0
