задача,модель,accuracy,macro_f1,MAE,R2,auroc
1. Овариальный ответ (3 класса),ПРАВИЛО по АМГ,0.6490588949605343,0.6464226015893262,,,
1. Овариальный ответ (3 класса),бейзлайн (частый класс),0.5768063145112325,0.24387113335900398,,,
1. Овариальный ответ (3 класса),логистическая регрессия,0.6290224650880388,0.6247110082179235,,,
1. Овариальный ответ (3 класса),случайный лес,0.7122040072859745,0.6937196863152205,,,
1. Овариальный ответ (3 класса),градиентный бустинг,0.7024893746205222,0.6640381420341098,,,
2. Число ооцитов (регрессия),бейзлайн (медиана),,,6.760170006071645,-0.05208442743240127,
2. Число ооцитов (регрессия),градиентный бустинг,,,4.5945569641275075,0.4668432480137451,
3. Доля зрелых MII,бейзлайн (медиана),,,0.17604462263743817,-0.04261368191289283,
3. Доля зрелых MII,градиентный бустинг,,,0.16810494816272162,0.12778640418525944,
4. Риск гиперответа (>20 ооцитов),бейзлайн (частый класс),0.8494231936854888,0.4592908732764281,,,0.5
4. Риск гиперответа (>20 ооцитов),логистическая регрессия,0.8057073466909532,0.7021982542344534,,,0.8738038691231064
4. Риск гиперответа (>20 ооцитов),случайный лес,0.8682452944748027,0.7394376824907319,,,0.8905035855103876
4. Риск гиперответа (>20 ооцитов),градиентный бустинг,0.8743169398907104,0.7146524270056955,,,0.8797139085521917
5. Риск бедного ответа (≤3 ооцитов),бейзлайн (частый класс),0.8318154219793564,0.45409347033476966,,,0.5
5. Риск бедного ответа (≤3 ооцитов),логистическая регрессия,0.8008500303582271,0.7240202549441926,,,0.8727897968325911
5. Риск бедного ответа (≤3 ооцитов),случайный лес,0.8773527625986642,0.7909068283632743,,,0.8966823895227806
5. Риск бедного ответа (≤3 ооцитов),градиентный бустинг,0.8816029143897997,0.7734389604709484,,,0.8953542912856729
6. Состоится ли пункция,бейзлайн (частый класс),0.5873214733149587,0.37000789265982637,,,0.5
6. Состоится ли пункция,логистическая регрессия,0.6467050864445001,0.6383954665116229,,,0.6883307067768266
6. Состоится ли пункция,случайный лес,0.6680030067652217,0.6602733694139997,,,0.7338359277702141
6. Состоится ли пункция,градиентный бустинг,0.6730142821348033,0.6582326176190177,,,0.7426306180852144
7. Положительный ХГЧ (беременность),бейзлайн (частый класс),0.5992680695333943,0.37471395881006864,,,0.5
7. Положительный ХГЧ (беременность),логистическая регрессия,0.5768526989935956,0.5728732645765011,,,0.6176775070584544
7. Положительный ХГЧ (беременность),случайный лес,0.6591948764867338,0.6385026016261246,,,0.683543779845934
7. Положительный ХГЧ (беременность),градиентный бустинг,0.6175663311985361,0.585729570925973,,,0.6483621771410646
